question-ref,group,participant,accuracy,score,confidence
question-mission12-agent0,control,A7P3R1AIA4TVV,1,3,3
question-mission26-agent0,control,A7P3R1AIA4TVV,0,-4,4
question-mission12-agent0,control,A272X64FOZFYLB,1,3,3
question-mission26-agent0,control,A272X64FOZFYLB,1,3,3
question-mission12-agent0,control,A1DMXEJGJY02E1,0,-4,4
question-mission26-agent0,control,A1DMXEJGJY02E1,0,-2,2
question-mission13-agent0,control,A38Z99XF4NDNH0,0,-1,1
question-mission75-agent0,control,A38Z99XF4NDNH0,0,-4,4
question-mission54-agent0,control,A38Z99XF4NDNH0,0,-4,4
question-mission13-agent0,control,A1K5ILJMG439M5,1,2,2
question-mission75-agent0,control,A1K5ILJMG439M5,1,2,2
question-mission54-agent0,control,A1K5ILJMG439M5,0,-1,1
question-mission13-agent0,control,A19ZWBQT8A3LIR,1,2,2
question-mission75-agent0,control,A19ZWBQT8A3LIR,1,2,2
question-mission54-agent0,control,A19ZWBQT8A3LIR,1,4,4
question-mission24-agent0,control,A3MLUEOP3CCLXL,0,-2,2
question-mission37-agent0,control,A3MLUEOP3CCLXL,1,3,3
question-mission10-agent0,control,A3MLUEOP3CCLXL,0,-2,2
question-mission24-agent0,control,A1FYWSPNO7KN1O,1,3,3
question-mission37-agent0,control,A1FYWSPNO7KN1O,1,4,4
question-mission10-agent0,control,A1FYWSPNO7KN1O,1,3,3
question-mission24-agent0,control,A38NFX88VZDMJ3,1,3,3
question-mission37-agent0,control,A38NFX88VZDMJ3,0,-1,1
question-mission10-agent0,control,A38NFX88VZDMJ3,1,3,3
question-mission24-agent0,control,A17Q4QN6UE0EZC,1,3,3
question-mission37-agent0,control,A17Q4QN6UE0EZC,1,3,3
question-mission10-agent0,control,A17Q4QN6UE0EZC,1,3,3
question-mission11-agent0,control,AQAXDL1INQC9Q,0,-3,3
question-mission11-agent0,control,A1VAL7L9L79IN0,1,2,2
question-mission11-agent0,control,A2QPMJ4GADLUW2,1,4,4
question-mission14-agent0,control,A4LCG4MSNJRUF,0,-2,2
question-mission14-agent0,control,A1A1A9UHNQCI9Y,1,3,3
question-mission14-agent0,control,A3UN1F1EOHKKE6,1,4,4
question-mission35-agent0,control,A37S96RT1P1IT2,1,2,2
question-mission15-agent0,control,A37S96RT1P1IT2,1,2,2
question-mission35-agent0,control,A3GAQNTZ1V1VO,1,2,2
question-mission15-agent0,control,A3GAQNTZ1V1VO,0,-1,1
question-mission35-agent0,control,AY8V73VAPWWIQ,1,3,3
question-mission15-agent0,control,AY8V73VAPWWIQ,1,4,4
question-mission69-agent0,control,A3CXK1KSRGU27V,0,-1,1
question-mission5-agent0,control,A3CXK1KSRGU27V,0,-3,3
question-mission69-agent0,control,AVBRJBJONL47I,1,2,2
question-mission5-agent0,control,AVBRJBJONL47I,1,1,1
question-mission69-agent0,control,A1SX8IVV82M0LW,1,3,3
question-mission5-agent0,control,A1SX8IVV82M0LW,1,4,4
question-mission56-agent0,control,A2N2GFB33ZMYGF,1,3,3
question-mission79-agent0,control,A2N2GFB33ZMYGF,1,3,3
question-mission8-agent0,control,A2N2GFB33ZMYGF,1,4,4
question-mission56-agent0,control,A2GFU1QB3HGIX7,1,3,3
question-mission79-agent0,control,A2GFU1QB3HGIX7,1,4,4
question-mission8-agent0,control,A2GFU1QB3HGIX7,1,4,4
question-mission56-agent0,control,ARI1EMAHUA9PO,1,2,2
question-mission79-agent0,control,ARI1EMAHUA9PO,1,2,2
question-mission8-agent0,control,ARI1EMAHUA9PO,1,3,3
question-mission57-agent0,control,A2I960JYUZ8KAV,1,2,2
question-mission57-agent0,control,A2TLN8489YGY81,1,4,4
question-mission57-agent0,control,A2QWTQ4I70BRWO,0,-3,3
question-mission41-agent0,control,A9A2IX3OBORBE,1,4,4
question-mission41-agent0,control,A2ZQCHONMAJZF,0,-4,4
question-mission41-agent0,control,A1C7XI68SED8JE,1,3,3
question-mission66-agent0,control,A1LR0VQIHQUJAM,1,2,2
question-mission66-agent0,control,A2GA29WTMFW2W,1,3,3
question-mission66-agent0,control,A32Y2N9XYGNOJ1,1,3,3
question-mission43-agent0,control,A2XFO0X6RCS98M,1,3,3
question-mission43-agent0,control,A29R0FQ7OLGU74,0,-4,4
question-mission43-agent0,control,A33364ORTSKBUU,1,3,3
question-mission68-agent0,control,A1RLO9LNUJIW5S,0,-4,4
question-mission68-agent0,control,A1E0WK5W1BFPWR,1,3,3
question-mission68-agent0,control,ANCCKNF1DKRZO,0,-3,3
question-mission7-agent0,control,AW1QY7Q83DYCJ,1,4,4
question-mission32-agent0,control,AW1QY7Q83DYCJ,1,4,4
question-mission7-agent0,control,A5RDR8CT6ZJMJ,1,3,3
question-mission32-agent0,control,A5RDR8CT6ZJMJ,0,-2,2
question-mission7-agent0,control,A2IP3ZAFYGV8M9,1,3,3
question-mission32-agent0,control,A2IP3ZAFYGV8M9,0,-3,3
question-mission23-agent0,control,AJ02LB3WXMMY4,1,2,2
question-mission23-agent0,control,A1E77HZO63E334,0,-1,1
question-mission23-agent0,control,A3PRZRK9IC5CBI,1,3,3
question-mission12-agent0,experimental,A3UF6XXFFRR237,1,3,3
question-mission26-agent0,experimental,A3UF6XXFFRR237,0,-4,4
question-mission12-agent0,experimental,A3D2GO0IFRFN6R,1,4,4
question-mission26-agent0,experimental,A3D2GO0IFRFN6R,0,-4,4
question-mission12-agent0,experimental,AY7WPVKHVNBLG,1,2,2
question-mission26-agent0,experimental,AY7WPVKHVNBLG,1,1,1
question-mission12-agent0,experimental,AEWPAZBYA7XE,1,4,4
question-mission26-agent0,experimental,AEWPAZBYA7XE,0,-4,4
question-mission13-agent0,experimental,A1F34ZP6YNI98F,0,-3,3
question-mission75-agent0,experimental,A1F34ZP6YNI98F,1,3,3
question-mission54-agent0,experimental,A1F34ZP6YNI98F,1,2,2
question-mission13-agent0,experimental,A2OVX9UW5WANQE,0,-1,1
question-mission75-agent0,experimental,A2OVX9UW5WANQE,0,-1,1
question-mission54-agent0,experimental,A2OVX9UW5WANQE,1,1,1
question-mission13-agent0,experimental,A3OB6REG5CGHK1,0,-2,2
question-mission75-agent0,experimental,A3OB6REG5CGHK1,1,3,3
question-mission54-agent0,experimental,A3OB6REG5CGHK1,1,2,2
question-mission24-agent0,experimental,A2F2DDH12YU4AK,1,4,4
question-mission37-agent0,experimental,A2F2DDH12YU4AK,1,4,4
question-mission10-agent0,experimental,A2F2DDH12YU4AK,1,4,4
question-mission24-agent0,experimental,A1YSYI926BBOHW,1,3,3
question-mission37-agent0,experimental,A1YSYI926BBOHW,1,1,1
question-mission10-agent0,experimental,A1YSYI926BBOHW,1,2,2
question-mission24-agent0,experimental,A2NGMLBFZ3YQP5,1,1,1
question-mission37-agent0,experimental,A2NGMLBFZ3YQP5,1,3,3
question-mission10-agent0,experimental,A2NGMLBFZ3YQP5,1,3,3
question-mission24-agent0,experimental,A2LCFORIW0NF1S,1,1,1
question-mission37-agent0,experimental,A2LCFORIW0NF1S,0,-2,2
question-mission10-agent0,experimental,A2LCFORIW0NF1S,1,0,0
question-mission11-agent0,experimental,A1945USNZHTROX,0,-4,4
question-mission11-agent0,experimental,A3L0DCUXI7X3A9,1,3,3
question-mission11-agent0,experimental,A2RGIULFG1GWF5,1,1,1
question-mission14-agent0,experimental,A1160COTUR26JZ,1,4,4
question-mission14-agent0,experimental,A1UZXOMO6BS6I2,1,3,3
question-mission14-agent0,experimental,A2BL6ZVUM0B9C8,1,2,2
question-mission35-agent0,experimental,A3S67QA0SQVPUJ,1,4,4
question-mission15-agent0,experimental,A3S67QA0SQVPUJ,1,4,4
question-mission35-agent0,experimental,A2BW6WD7LZ9EGV,1,3,3
question-mission15-agent0,experimental,A2BW6WD7LZ9EGV,1,4,4
question-mission35-agent0,experimental,A1C2T79XTDHE39,0,-2,2
question-mission15-agent0,experimental,A1C2T79XTDHE39,0,-3,3
question-mission69-agent0,experimental,A1PUHCEBSOWETV,1,3,3
question-mission5-agent0,experimental,A1PUHCEBSOWETV,1,3,3
question-mission69-agent0,experimental,A3MYTEE8WSEQ2Z,1,4,4
question-mission5-agent0,experimental,A3MYTEE8WSEQ2Z,1,4,4
question-mission69-agent0,experimental,A1DX0Z20W07YOR,1,4,4
question-mission5-agent0,experimental,A1DX0Z20W07YOR,1,3,3
question-mission56-agent0,experimental,APGX2WZ59OWDN,1,3,3
question-mission79-agent0,experimental,APGX2WZ59OWDN,1,3,3
question-mission8-agent0,experimental,APGX2WZ59OWDN,1,3,3
question-mission56-agent0,experimental,A5Q0UTSKAI2TQ,1,4,4
question-mission79-agent0,experimental,A5Q0UTSKAI2TQ,1,4,4
question-mission8-agent0,experimental,A5Q0UTSKAI2TQ,1,4,4
question-mission56-agent0,experimental,A36DK84J5YJ942,1,4,4
question-mission79-agent0,experimental,A36DK84J5YJ942,1,4,4
question-mission8-agent0,experimental,A36DK84J5YJ942,1,4,4
question-mission57-agent0,experimental,A2EKR2ZFO10VMV,1,3,3
question-mission57-agent0,experimental,A3PQVDFT21IISU,1,4,4
question-mission57-agent0,experimental,ACGHHDT7RY1AH,1,3,3
question-mission41-agent0,experimental,A3LL096CAY5WHB,0,-2,2
question-mission41-agent0,experimental,A1ZVC2VT88SYEP,1,4,4
question-mission41-agent0,experimental,A2VRDE2FHCBMF8,0,-4,4
question-mission66-agent0,experimental,ASP32QB28TEZU,1,4,4
question-mission66-agent0,experimental,A3APMO8WXVH1V0,1,2,2
question-mission66-agent0,experimental,A3DNYS7B0V1FQF,1,4,4
question-mission43-agent0,experimental,A2S591ZMEWMA5C,1,4,4
question-mission43-agent0,experimental,A1M9V2YS4P0PJY,1,3,3
question-mission43-agent0,experimental,A17N3LOP5HGSQ8,1,3,3
question-mission68-agent0,experimental,AOWW3URQNRJ6U,1,3,3
question-mission68-agent0,experimental,A3MFK5UEUG95M3,1,4,4
question-mission68-agent0,experimental,A2QRB6L1MCJ53G,1,4,4
question-mission7-agent0,experimental,AM2KK02JXXW48,1,4,4
question-mission32-agent0,experimental,AM2KK02JXXW48,1,4,4
question-mission7-agent0,experimental,A1Y0CLL6EMMN31,1,4,4
question-mission32-agent0,experimental,A1Y0CLL6EMMN31,1,4,4
question-mission7-agent0,experimental,A2KLJKDG90K1PP,1,4,4
question-mission32-agent0,experimental,A2KLJKDG90K1PP,1,4,4
question-mission23-agent0,experimental,ALZDJ7DBWN919,1,4,4
question-mission23-agent0,experimental,A2XMYHTHDZEM4U,0,-4,4
question-mission23-agent0,experimental,A3RLCGRXA34GC0,1,4,4
